Altium Designer Pick and Place Locations
C:\Users\70654\Desktop\Chassis_Controller\Chassis_Controller\Project Outputs for Chassis_Controller\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       08/09/19
Time:       22:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment       Layer       Footprint     Center-X(mil) Center-Y(mil) Rotation Description               
""         "Header 2"    TopLayer    GH1.25_2P     1919.291      1284.449      0        "Header, 2-Pin"           
P1         "Header 4"    TopLayer    HDR1X4        2231.543      3378.243      90       "Header, 4-Pin"           
R32        0R            TopLayer    0603          1670.122      2212.383      90       ""                        
R31        47R           TopLayer    0402          623.000       2001.149      180      ""                        
C10        0.1uf         TopLayer    0402          1324.908      2875.119      270      ""                        
P9         "Header 7"    TopLayer    HDR1X7        1158.000      1259.661      360      "Header, 7-Pin"           
C1         20PF          TopLayer    0402          1073.574      2797.727      360      ""                        
R9         100K          TopLayer    0402          103.000       3168.661      90       ""                        
x1         8MHz          TopLayer    8M¾§Õñ          1054.575      2894.661      180      ""                        
P20        "Header 2"    TopLayer    XT30-PW-M     1153.000      3409.661      360      "Header, 2-Pin"           
R18        560R          BottomLayer 0402          1046.426      3123.661      360      ""                        
LED1       LED           TopLayer    0603          1152.416      3124.629      360      ""                        
C20        C             TopLayer    0402          678.000       2549.271      270      ""                        
C19        0.1uf         TopLayer    0402          678.000       2282.873      270      ""                        
C18        0.1uf         TopLayer    0402          1037.544      1734.661      360      ""                        
C17        0.1uf         TopLayer    0402          699.314       2070.661      270      ""                        
C16        0.1uf         TopLayer    0402          693.000       1865.661      270      ""                        
C15        0.1uf         TopLayer    0402          1269.000      1694.661      360      ""                        
C14        0.1uf         TopLayer    0402          1526.874      1738.189      360      ""                        
C13        0.1uf         TopLayer    0402          1690.208      2115.661      90       ""                        
C12        0.1uf         TopLayer    0402          1671.749      2310.391      90       ""                        
C11        0.1uf         TopLayer    0402          1644.000      2615.607      180      ""                        
U2         AMS1117-3.3   BottomLayer ASM1117       1148.000      3564.661      90       ""                        
P21        "Header 8X2"  TopLayer    HDR2X8        1153.000      1464.661      360      "Header, 8-Pin, Dual row" 
